NPS_Grupo;COMENTARIO_NPS;TACTICO;1ERA CAUSA RAIZ
Pasivo;Me parece el adecuado ;CONVENIENCIA;Promociones
Promotor;El servicio;CONVENIENCIA;Planes
Promotor;Buena atencion . Precios acordes . Tengo mucha antiguedad ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro y dura poco el internet en el celular ;CONVENIENCIA;Precio
Promotor;Es la que mejor funciona en 4g en velocidad;CONVENIENCIA;Promociones
Promotor;Excelente ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Por el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;conforme con el servicio;CONVENIENCIA;Planes
Promotor;No tengo problemaa y solucionan rapudo todoo;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena senal ;CONVENIENCIA;Planes
Detractor;A pesar de que hace casi 30 anos tengo esta linea con ustedes, veo que nuevas lineas con el mismo plan cuestan menos que el mio. No hay beneficio por ser cliente antiguo lo que me hace pensar que hacer en el futuro;CONVENIENCIA;Precio
Detractor;Los asesorew no dieron la solucion alnproblema.;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Satisfecho con el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buena atencion al cliente;RELACIONAMIENTO;Atencion a Clientes
Detractor;No brindan buena atencion;RELACIONAMIENTO;Atencion a Clientes
Detractor;Porque en algunos lugares alejados donde no hay mucha senal no anda pero en otros lugares como en la ciudad fiando es mejor claro;CONVENIENCIA;Planes
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;ME RESULTA ONEROSO;CONVENIENCIA;Precio
Detractor;Precio, es caro;CONVENIENCIA;Precio
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Baja de precios;CONVENIENCIA;Precio
Detractor;Aun no me convence el saldo a pagar es alto ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio, buena cobertura. Precio razonable ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Pocos gigas, solo 3gb;CONVENIENCIA;Packs
Promotor;Excelente trato y resolucion rapida ;RELACIONAMIENTO;Atencion a Clientes
Detractor;me aumentaron muchisimo y no me puedo contactar con un representante;CONVENIENCIA;Precio
Detractor;No me pude comunicar con una persona ;RELACIONAMIENTO;Atencion a Clientes
Detractor;eeeeeeLa llamada whatsup recalento el telefono(Samsunng a 14,comprado en el local  de Personal de Flores) y el mismo telefono ,despues de anunciarmelo mediante un aviso en pantalla corto la videollamada.Esto sucedio repetidaS VECES;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por tido en general ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;BUENA;RELACIONAMIENTO;Atencion a Clientes
Detractor;no me puedo comunicar, aumentan  permanentem,ente.;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Promociones
Detractor;El servicio es increiblemente caro;CONVENIENCIA;Precio
Pasivo;De Buena a muy bueno ;CONVENIENCIA;Precio
Promotor;Por el buen servicio que brindan ;RELACIONAMIENTO;Atencion a Clientes
Detractor;;CONVENIENCIA;Precio
Pasivo;Funciona bien, pero es practicamente un monopolio. ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Muy caro el servicio;CONVENIENCIA;Precio
Detractor;Es muy caro, todos los meses te cobran de mas;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Cambian el precio sin avisar la app no funciona ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Mala cobertura ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Mi nro paso a la glota corporativa de la empresa. Me dejaron 3 horas sin servicio y luego todo el fin de semana con un nro que no era.el.mio, que al.dia de hoy sigue apareciendo en la configuracion del telefono;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Pesos ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy bien atencion y rapidez en resolver inconvenientes y cordialidad en la atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;El internet me anda lento ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me dan buenos descuentos;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Beneficios
Pasivo;Estoy muy conforme c l Cia.;CONVENIENCIA;Precio
Detractor;Informan todo muy mal;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Muy poca senal en muchas areas ultimamente. Incluso Avellaneda ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Mi experiencia ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Los aumentos permanentes en el valor del plan;CONVENIENCIA;Precio
Promotor;Funciona bien ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;No me gusta que suban los precios sin comunicarlo y cuando llames para renegociar tu plan, te digan que los aumentos se dan cuando el gobierno los aprueba, pero tampoco ellos lo comunican;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy conforme con la empresa;RELACIONAMIENTO;Atencion a Clientes
Pasivo; correcta funcionalidad ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;No se corta;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Desde que hay celulares yo tuve siempre personal asi que nada, por suerte nunca tuve mayores problemas ;CONVENIENCIA;Precio
Promotor;Buen servicio, y recomendable ;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Promotor;Porque es necesario que les responda. ;CONVENIENCIA;Planes
Promotor;Muy conforme con el precio y servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Ninguna ;CONVENIENCIA;Promociones
Detractor;Es un servicio caro... en el ultimo ano aumento un 390% contra una inflasion del 165 % ;CONVENIENCIA;Precio
Promotor;contacto telefonico;CONVENIENCIA;Promociones
Pasivo;Es lo que pienso;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;nada en particular;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El servicio no coherente con el precio, para mantener un precio razonable se debe recurrir a llamar cada cierto periodo para renovar los descuentos. No tiene senal en lugares con una poblacion normal, ademas de las deficiencia de la senal. ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy bueno el plan ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me atendieron muy bien;RELACIONAMIENTO;Atencion a Clientes
Detractor;Por cobrarme dos veces el mismo mes y la respuesta es pague y despues el mes proximo no paga;RELACIONAMIENTO;Facturacion y Pago 
Promotor;porque brindan buen servicio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Es muy largo, si quieren me llaman para que les explique. Tuve que repetir el mismo reclamo del mes pasado (error aceptado por la operadora), cuando me estaba contestando me paso con Ventas. Ventas me corto. Volvi a llamar, me atendio la misma persona (salvo que todas se llamen Mariela), empiezo a explicarle que recien habiamos hablado y vuelve a pasarme con Ventas que me pasa con Facturacion y vuelve a cortarse. UN DESASTRE;RELACIONAMIENTO;Atencion a Clientes
Detractor;El precio ;CONVENIENCIA;Precio
Detractor;Subio mucho mi plan ,todos los meses lo hacen;CONVENIENCIA;Precio
Promotor;La buena atencion las promociones que te brindan para mejorar tu abono y sobre todo la amabilidad con la que te atienden la verdad muy buenos todos y respetuoso ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;el servicio de Personal ha sido muy confiable y estable, aunque ultimamente, he tendido algunas ocasiones con baja cobertura, en lugares donde antes tenia excelente servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;El servicio siempre me fue eficiente en todo momento y lugar;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Precio alto. Poca senal en algunos lugares ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Muy caro;CONVENIENCIA;Precio
Pasivo;Buena atencion;CONVENIENCIA;Packs
Detractor;Caro;CONVENIENCIA;Precio
Pasivo;Por su servicio en el extranjero ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente atencion, rapida resolucion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Es buena ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Solucion al pedido ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Conforme ;CONVENIENCIA;Promociones
Promotor;;CONVENIENCIA;Planes
Detractor;La calificacion es debido al mal funcionamiento de la aplicacion y al aumento continuo del abono;CONVENIENCIA;Precio
Detractor;Relacion precio calidad;CONVENIENCIA;Planes
Detractor;Tengo 5 lineas e Internet y me resulta carisimo , amigos pagan 6 mil en claro ;CONVENIENCIA;Precio
Promotor;"Paciente y Cordial. Pero no llego a ""10"" porq tardo un poco en contestarme";RELACIONAMIENTO;Atencion a Clientes
Pasivo;Me gustaria tener mas pack;CONVENIENCIA;Packs
Promotor;LA MUY BUENA ATENCIoN Y EL SERVICIO;RELACIONAMIENTO;Atencion a Clientes
Detractor;Caro ;CONVENIENCIA;Precio
Pasivo;Podrian estar mejor;RELACIONAMIENTO;Atencion a Clientes
Promotor;Te da una comodidad muy buena y un plan de pago excelente ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Otras empresas ofrecen lo mismo pero a menor precio ;CONVENIENCIA;Precio
Promotor;Lo recomendaria ya que el servicio en el lugar donde vivo funciona bien.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;porque tienen un pesimo servicio en la atencion al cliente;RELACIONAMIENTO;Atencion a Clientes
Detractor;no avisan de promociones, modifican la factura sin aviso, cuesta conectarse at. cliente, avisan de no pago cuando esta paga, etc;RELACIONAMIENTO;Atencion a Clientes
Promotor;Siempre te resuelven las inquietudes, soy cliente de hace mas de 30 anos, sal o el precio de los abonos, todo lo demas muy bien;RELACIONAMIENTO;Atencion a Clientes
Promotor;No tengo problemas de conectividad, la resolucion de problemas es inmediata con el llamado y hablar con un operador. Muy satisfecha.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Comodidad;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;Baja calidad del servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena pero aumenta mucho todos los meses ;CONVENIENCIA;Precio
Pasivo;;CONVENIENCIA;Precio
Detractor;Muchas regiones del pais sin cobertura de senal.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Servicio desastrozo ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;luego de unos meses el costo se hace mayor y los gs no alcanzan como todas las empresas;CONVENIENCIA;Precio
Detractor;Suben cada mes la fact;CONVENIENCIA;Precio
Detractor;Pesimo servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro el plan que me dan de 3gb en uno de los equipos que tengo, estoy por  pasarme a otra compania que me sale menos de la mitad ;CONVENIENCIA;Precio
Promotor;Buena senal;RELACIONAMIENTO;Atencion a Clientes
Promotor;muy bueno;CONVENIENCIA;Beneficios
Pasivo;Es caro;CONVENIENCIA;Precio
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Detractor;No me sirve la senal el de 5 gigas no me sirve no puedo ni vajar fotos ;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;No me puedo comunicar con un representante ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Funciona bien;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;La confeccion en cualquier parte del pais;RELACIONAMIENTO;Atencion a Clientes
Detractor;;CONVENIENCIA;Precio
Detractor;Muy caro el servicio. No ma tiene el precio. Ni los contratod;RELACIONAMIENTO;Atencion a Clientes
Detractor;Ni siquiera me pudo recargar un pack de datos ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me gusta el plan que tengo ;CONVENIENCIA;Precio
Detractor;Mala senal;CONVENIENCIA;Precio
Detractor;"Muy malo el servicio de red, siempre esta en ""H"" o se cae en cualquier momento. Esta todo tan digitalizado que hoy en dia es un milagro poder reclamar o plantear un problema a una persona real y no a un programa compitalizado. 'Personal' alfnal No es para nada personal !!!";RELACIONAMIENTO;Atencion a Clientes
Promotor;Nunca tengo problema con el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es util ;CONVENIENCIA;Promociones
Promotor;Siempre funciona el wifi;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente servicio telefonico y de internet. Asimismo promocion por ser cliente de anos.;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Descuentos;CONVENIENCIA;Promociones
Promotor;Buena senal en cualquier lugar,;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro ;CONVENIENCIA;Precio
Promotor;;CONVENIENCIA;Precio
Promotor;Servicio;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Calidad y respeto;RELACIONAMIENTO;Atencion a Clientes
Promotor;Me sirve siempre ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Se gastan muy rapido los gigas;CONVENIENCIA;Planes
Promotor;Excelente atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Eficacia  bastante buena ;CONVENIENCIA;Beneficios
Detractor;Un tema de costos y no me llevaron a ninguna solucion y fue muy muy extensa la charla,ya que por wp se hace interminable hasta que contestan entre  una y otra;CONVENIENCIA;Precio
Detractor;Aumento desmedido en los servicios ;CONVENIENCIA;Precio
Detractor;No me atendieron nunca 20 minutos de espera;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio;RELACIONAMIENTO;Atencion a Clientes
Promotor;Estoy muy conforme;CONVENIENCIA;Promociones
Pasivo;No tiene que ser bonificacion escalonada ... ;CONVENIENCIA;Promociones
Promotor;Muy buena senal y atencion ;CONVENIENCIA;Promociones
Pasivo;Por que siempre uno tiene pedir otra tarifa , es imposible lo# importes;CONVENIENCIA;Precio
Promotor;Buena cobertura ;RELACIONAMIENTO;Atencion a Clientes
Detractor;servicio caro y no siempre dan respuestas rapidas;CONVENIENCIA;Precio
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Carisimo y mal servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Inventan cualquier valor y luego lo suben y bajan como se les ocurre ofreciendo promociones, y si les cobran a todos lo que REALMENTE vale seria mucho mejor!;CONVENIENCIA;Precio
Detractor;Muy caro el servicio ;CONVENIENCIA;Precio
Promotor;Excelente descuento y atencion ;CONVENIENCIA;Beneficios
Detractor;Mala atencion ;CONVENIENCIA;Promociones
Promotor;Siempre hay beneficios y se adapta a planes con muy buenos descuentos!;CONVENIENCIA;Planes
Promotor;Nunca tuve problemas;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Precio
Promotor;Siempre bien atendido;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio y buena atencion al cliente ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Caro;CONVENIENCIA;Precio
Promotor;Servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Aveces maps me haces estoy sin datos ;CONVENIENCIA;Precio
Promotor;Estube lejos de la ciudad y andaba perfectamente la senal;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Siembre tengo senal ;CONVENIENCIA;Planes
Promotor;Conforme ;CONVENIENCIA;Beneficios
Pasivo;Porque los precios suben sin contyol;CONVENIENCIA;Precio
Promotor;Precio;CONVENIENCIA;Precio
Promotor;Excelente atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;El servicio es muy caro comparado con la competencia ;CONVENIENCIA;Precio
Pasivo;Buen servicio pero cada dia mas caro ;CONVENIENCIA;Precio
Detractor;;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Buen servicio y como estoy en una promocion de 18 meses, muy buen prwcio;CONVENIENCIA;Precio
Detractor;Costos;CONVENIENCIA;Precio
Pasivo;Estoy desde esta manana para habilitar esim, por ahora venimos esperando con la excelente atencion de Agustina, esperemos que llegue mail con qr;RELACIONAMIENTO;Atencion a Clientes
Pasivo;El precio deberia ser este siempre, no tener que estar con promocion sobre promocion de la promocion.;CONVENIENCIA;Precio
Detractor;Muy caro el abono;CONVENIENCIA;Precio
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro;CONVENIENCIA;Precio
Promotor;Hasta ahora muy conforme ;CONVENIENCIA;Beneficios
Pasivo;Servicio;CONVENIENCIA;Planes
Promotor;;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Servicio deficiente ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Precio;CONVENIENCIA;Precio
Promotor;Me gusta que me aumenten los gigas de acuerdo al uso que le doy ;CONVENIENCIA;Planes
Detractor;Muy pocos gigas para lo que se paga ;CONVENIENCIA;Beneficios
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;1;CONVENIENCIA;Precio
Detractor;Las promocions nos las mantienen y cuando hablas con un empleado las promociones y las bajas que pedis no se respetan . ;CONVENIENCIA;Precio
Detractor;Se puerde mucho la senal;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Que todas las companias de telefono celulares de Argentina funcionan de la misma manera y los servicios no son nada atractivos, pero considero que Personal es un poco mejor que las otras companias de telefonia movil;CONVENIENCIA;Promociones
Detractor;El costo por 5 lineas ;CONVENIENCIA;Precio
Detractor;Los precios aumentan, pero los beneficios siguen iguales;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Me gusta el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelencia para el cliente a toda hora ...   !!!;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buen servicio a un precio competitivo;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;WhatsApp ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Muy buenos precios del abono ;CONVENIENCIA;Packs
Detractor;El servicio movil el muy malo;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Malo el servicio ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Que cuando pagas la factura los megas no andan;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Muy caro ;CONVENIENCIA;Planes
Promotor;Hola buenas tardes siempre use la linea personal  hasta un no tengo inconveniente me gusta usar personal ;RELACIONAMIENTO;Facturacion y Pago 
Promotor;Solo por bueno en que no se corta la senal ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es carisimo! Estoy pensado en cambiarlo ;CONVENIENCIA;Precio
Promotor;Es buen servicio telefonica,  solo que en venado tuerto se corta la luz y el sistema se cae, deberian de poner generador auxiliar para esos casos, sino quedamos incomunicado ;CONVENIENCIA;Precio
Detractor;Muy caro ;CONVENIENCIA;Precio
Detractor;Es muy caro ;CONVENIENCIA;Precio
Detractor;porque no me solucionaron el problema;RELACIONAMIENTO;Atencion a Clientes
Promotor;Me dicen que estoy loco lo que abono el que mas paga es 8 mil pesos ;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;No eh recibido ninguna bonificacion desde hace anos.;CONVENIENCIA;Precio
Promotor;Es buena;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Buena atencion ;CONVENIENCIA;Promociones
Promotor;Excelente atencion siempre;RELACIONAMIENTO;Atencion a Clientes
Detractor;Pocos beneficios;CONVENIENCIA;Beneficios
Detractor;Precio-calodad;CONVENIENCIA;Precio
Promotor;Muy bien me anda;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Buena cobertura ;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Accesibilidad ;CONVENIENCIA;Packs
Detractor;Los datos funcionan mal mas de una semana ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;muy bueno;CONVENIENCIA;Precio
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy caro ;CONVENIENCIA;Promociones
Promotor;Es mas economicos q las demas linias ;CONVENIENCIA;Precio
Promotor;Bien el servicio ;RELACIONAMIENTO;Facturacion y Pago 
Detractor;Hace rato tengo mala senal..tengo que esta poniendo en modo avion y sacarlo para que agarre senal ;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;;CONVENIENCIA;Packs
Pasivo;Dura poco ;CONVENIENCIA;Beneficios
Detractor;Estoy abonando 4 linea de celulares mas cable e internet  no siento que tengan consideracion con los precios y me estan ofreciendo el mismo servicio de otra compania x menos de la mitd del precio estoy pensandolo muy serio  para cambiarme;CONVENIENCIA;Precio
Promotor;Rapido ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Esperando sigan igual dejo el 10 para la proxima vez.;CONVENIENCIA;Beneficios
Pasivo;Es muy bueno ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Beneficios
Promotor;;RELACIONAMIENTO;Atencion a Clientes
Detractor;Es muy caro;CONVENIENCIA;Precio
Pasivo;Buena senal y servicios pero el costo es elevado;CONVENIENCIA;Precio
Detractor;Precio;CONVENIENCIA;Precio
Promotor;Muy buen servicio ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy bueno ;RELACIONAMIENTO;Atencion a Clientes
Promotor;eficacia en red en casi todo Buenos Aires ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;;CONVENIENCIA;Precio
Pasivo;Los valores;RELACIONAMIENTO;Atencion a Clientes
Promotor;Nunca tuve problemas ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es muy buena;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Muy Caro para una jubilada como yo;CONVENIENCIA;Precio
Pasivo;;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Bien;CONVENIENCIA;Packs
Detractor;el precio y la calidad del servicio no se corresponden;CONVENIENCIA;Beneficios
Pasivo;;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;No he tenido problema desde q uso personal movil;RELACIONAMIENTO;Atencion a Clientes
Detractor;en 10 dias se acaban mis gigas, que en otras compania me dura mi periodo completo. Algo no esta bien;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;promociones muy cortas;CONVENIENCIA;Promociones
Promotor;La atencion de Monserrat, del sector de atencion al cliente,ya que fue muy amable y se tomo el tiempo de explicarme un monton de cosas.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Excelente atencion ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;;CONVENIENCIA;Beneficios
Detractor;Precio alto;CONVENIENCIA;Precio
Detractor;Es que no esta funcionando bien internet e ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;buena atencion ;RELACIONAMIENTO;Atencion a Clientes
Detractor;Antes recomendaba mas pero ahora. No x los costo elevados. De la tarifa de la linea si recomendaria prepago hoy en dia mas ;CONVENIENCIA;Precio
Detractor;Abono caros pocos beneficiarios ;CONVENIENCIA;Precio
Pasivo;El precio;CONVENIENCIA;Precio
Pasivo;puede mejorar;CONVENIENCIA;Precio
Promotor;;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;bueno hace mas de 14 anos que los tengo. Conforme. soy jubilada y me hacen un benefecio, eso si me interes para seguir y no cambiar. ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por que estoy conforme ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;tuve que llamar para resolver temas de cobros que estaban mal hechos;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;-;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;La senal 4G se corta constantemente, es muy lenta e inestable;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El servicio es pesimo ultimamente  y me canse de hacer reclamos;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Funciona bien,aunque aumenta tanto que,lamentando mucho,tal vez tenga que dejarlo;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Por el buen servicio;CONVENIENCIA;Promociones
Promotor;Es una compania que siempre esta pensando en sus clientes.buenos productivos,buenos beneficios.;CONVENIENCIA;Precio
Promotor;el servicio;CONVENIENCIA;Promociones
Promotor;funciona bien, es agil y no suele cortarse mucho....salvo en las fechas de camnbio de facturacion. Realizar una BAJA es IMPOSIBLE ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Precios altos;CONVENIENCIA;Precio
Detractor;Sin necesidad de abono mis familiares tienen casi los mismos alcances de mi linea y por mucho, mucho menos;CONVENIENCIA;Precio
Pasivo;Son muy cordiales ;RELACIONAMIENTO;Atencion a Clientes
Detractor;servicio muy caro;CONVENIENCIA;Precio
Promotor;Excelente calidad de senal y funcionamiento de todo en general. Mejoraria la app respecto de cuando se tiene mas de un servicio con la compania;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Buen servicio, alto precio;CONVENIENCIA;Precio
Detractor;Aumenta todos los meses, y ya no es tan accesible como al principio;CONVENIENCIA;Precio
Promotor;.;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;El dia 28 de Octubre me dijeron por telefono que me iban a enviar el nuevo convenio por 6 meses de internet , Gestion Numero 28731316. Sigo a la espera. Gracias;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Relacion precio calidad;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;BUen servicio relacion precio;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;ajustes raros, no se entienden;RELACIONAMIENTO;Facturacion y Pago 
Pasivo;El servicio es bueno, te ofrece muchos beneficios, pero se me hizo complicado cargar saldo hace unos dias;CONVENIENCIA;Precio
Promotor;Buena comunicacion y buen precio por el servicio;CONVENIENCIA;Precio
Detractor;Es que una empresa telefonica no me apasiona como para recomendarla.;CONVENIENCIA;Precio
Promotor;Muy buenaa atencion ;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Tienen un buen alcance en lo que se refiere a senal ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;Excelente atencion ;SERVICIO;La calidad y funcionamiento del Servicio
Promotor;muy bueno;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Buen servicio ;CONVENIENCIA;Precio
Detractor;Realice por chat el descuento en internet y telefonia movil. No realizaron el de internet, pague muchisimo.;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy buen precio pack completo. ;CONVENIENCIA;Precio
Detractor;No esta siendo bueno el servicio;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;El costo es bastante elevado es por eso que la mayoria de mis familiares y conocidos tienen otras lines;CONVENIENCIA;Precio
Detractor;Servicio medio pelo, facturacion no muy clara, internet intermitente ;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;Porque despues de un ano sin telefonia fija y sin internet noe ofrecen nada acorde a mi situacion tengo 4 lineas con factura y no me pueden ofrecer nada?;CONVENIENCIA;Beneficios
Promotor;Buen servicio y buena atencion;RELACIONAMIENTO;Atencion a Clientes
Promotor;el resultado hecho realidad de la atencion de las chicas/os;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Bueno;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;Es un buen producto ;CONVENIENCIA;Precio
Pasivo;Buen servicio, aunque el precio elevado;RELACIONAMIENTO;Atencion a Clientes
Promotor;Nunca tuve grandes inconvenientes, si hoy en dia lo negativo que veo es q al quedar GB disponibles se pierden por no usarlos , antes se sumaban, hoy se pierden es lo malo q veo  ;CONVENIENCIA;Promociones
Pasivo;Correcta atencion y servicio;RELACIONAMIENTO;Atencion a Clientes
Pasivo;Es muy buen servicio, pero bastante caro.;CONVENIENCIA;Precio
Detractor;muy lento;SERVICIO;La calidad y funcionamiento del Servicio
Pasivo;porque soy cliente desde hace |7 anos;SERVICIO;La calidad y funcionamiento del Servicio
Detractor;carisimo;CONVENIENCIA;Precio
Detractor;Muy caro;CONVENIENCIA;Precio
Promotor;No tengo queja;RELACIONAMIENTO;Atencion a Clientes
Promotor;Muy amable la atencion ;RELACIONAMIENTO;Atencion a Clientes
Promotor;Bueno senal y bien precio ;SERVICIO;La calidad y funcionamiento del Servicio
